locus_id,token,locus_name,locus_type,scale,tags,sector_id,ssmp_zone_id,place_id,sward_ids,notes,hazard_level,building,floor,zone_type,congestion_prone,function,description,hazard_grade,risk_flags,sward_count,avg_dwell_minutes,median_dwell_minutes,max_dwell_minutes,std_dwell_minutes,total_visits,avg_daily_visitors,total_unique_users,avg_visits_per_person,visit_frequency_rank,peak_hour,temporal_pattern,avg_concurrent_occupancy,max_concurrent_occupancy,dwell_category
L-Y1-001,timeclock,본진 타각기 입구,GATE,POINT,#gate #anchor #checkpoint #hazard_2,SEC-00022,ZN-00142,PLC-Y1-001,"SWD-000149, SWD-000227, SWD-000233, SWD-000240, SWD-000256",,high,,,checkpoint_timeclock,True,ACCESS,Y-Project 본진 구역의 주 출입구. 전체 현장 인원 출입 통제 기준점이며 Journey 앵커 포인트다.,2.0,,7,10.3,2.0,720.0,33.2,1011043,5651.0,10245.0,98.69,2.0,5.0,night_shift,364.6,823.0,TRANSIT
L-Y1-002,timeclock,본진 타각기 출구,GATE,POINT,#gate #anchor #checkpoint #hazard_2,SEC-00022,ZN-00143,PLC-Y1-001,"SWD-000132, SWD-000133, SWD-000148, SWD-000232, SWD-000255",,high,,,checkpoint_timeclock,True,ACCESS,Y-Project 본진 구역의 주 출입구. 전체 현장 인원 출입 통제 기준점이며 Journey 앵커 포인트다.,2.0,,5,3.5,1.0,692.0,11.4,257327,4142.9,9727.0,26.45,14.0,19.0,night_shift,32.3,385.0,TRANSIT
L-Y1-003,main_gate,GATE #1,GATE,POINT,#gate #hazard_2,SEC-00022,ZN-00070,PLC-Y1-002,"SWD-000121, SWD-000127, SWD-000145",,high,,,checkpoint_gate,True,ACCESS,Y-Project 외곽 공사현장 출입 게이트. 차량 및 자재 출입 통제 지점. 복수 게이트 포함.,2.0,,3,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,uniform,0.0,0.0,TRANSIT
L-Y1-004,sub_gate,GATE #2 서측 공동구,GATE,POINT,#gate #hazard_2,SEC-00022,ZN-00164,PLC-Y1-002,SWD-000212,,high,,,checkpoint_gate,True,ACCESS,Y-Project 외곽 공사현장 출입 게이트. 차량 및 자재 출입 통제 지점. 복수 게이트 포함.,2.0,,1,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,uniform,0.0,0.0,TRANSIT
L-Y1-005,main_gate,GATE #4,GATE,POINT,#gate #hazard_2,SEC-00022,ZN-00074,PLC-Y1-002,"SWD-000139, SWD-000143",,high,,,checkpoint_gate,True,ACCESS,Y-Project 외곽 공사현장 출입 게이트. 차량 및 자재 출입 통제 지점. 복수 게이트 포함.,2.0,,2,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,uniform,0.0,0.0,TRANSIT
L-Y1-006,timeclock,지원 타각기 입구,GATE,POINT,#gate #anchor #checkpoint #hazard_2,SEC-00022,,PLC-Y1-003,,,low,전진,,,,ACCESS,전진 지원 구역 출입구. 협력사 및 지원 인력 주 출입 경로.,2.0,,0,22.7,2.0,720.0,80.1,45396,1500.9,5538.0,8.2,26.0,5.0,commute_peak,72.2,139.0,TRANSIT
L-Y1-007,timeclock,지원 타각기 출구,GATE,POINT,#gate #anchor #checkpoint #hazard_2,SEC-00022,,PLC-Y1-003,,,low,전진,,,,ACCESS,전진 지원 구역 출입구. 협력사 및 지원 인력 주 출입 경로.,2.0,,0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,uniform,0.0,0.0,TRANSIT
L-Y1-020,work_zone,FAB 1F 작업구역,WORK,BLOCK,#work #productive #hazard_3 #crowded,SEC-00022,ZN-00091,PLC-Y1-010,"SWD-000185, SWD-000186, SWD-000187, SWD-000188, SWD-000189, SWD-000191, SWD-000192, SWD-000193, SWD-000194, SWD-000195, SWD-000235",,high,,,work_area,False,WORK,Y-Project FAB(Fabrication) 건물 작업현장. 1F~4F 전체 작업구역. 반도체 설비 설치·시공 구역으로 핵심 생산 활동 공간.,3.0,crowded,11,15.2,4.0,720.0,36.9,767519,3949.3,8212.0,93.46,3.0,7.0,commute_peak,420.2,1273.0,LONG_STAY
L-Y1-021,work_zone,FAB 2F 작업구역,WORK,BLOCK,#work #productive #hazard_3,SEC-00022,,PLC-Y1-010,,,medium,FAB,2F,,,WORK,Y-Project FAB(Fabrication) 건물 작업현장. 1F~4F 전체 작업구역. 반도체 설비 설치·시공 구역으로 핵심 생산 활동 공간.,3.0,,0,8.8,2.0,719.0,25.9,305792,3458.0,9162.0,33.38,11.0,7.0,commute_peak,99.4,410.0,LONG_STAY
L-Y1-022,work_zone,FAB 3F 작업구역,WORK,BLOCK,#work #productive #hazard_3,SEC-00022,,PLC-Y1-010,,,medium,FAB,3F,,,WORK,Y-Project FAB(Fabrication) 건물 작업현장. 1F~4F 전체 작업구역. 반도체 설비 설치·시공 구역으로 핵심 생산 활동 공간.,3.0,,0,7.6,2.0,713.0,21.0,388822,3446.6,9032.0,43.05,7.0,7.0,commute_peak,105.8,461.0,LONG_STAY
L-Y1-023,work_zone,FAB 4F 작업구역,WORK,BLOCK,#work #productive #hazard_3 #height,SEC-00022,,PLC-Y1-010,"SWD-000262, SWD-000272, SWD-000273, SWD-000274, SWD-000275, SWD-000276, SWD-000277, SWD-000278, SWD-000279, SWD-000280, SWD-000282, SWD-000283, SWD-000284, SWD-000285, SWD-000286, SWD-000287, SWD-000288, SWD-000289, SWD-000290, SWD-000291, SWD-000292, SWD-000293, SWD-000294, SWD-000295, SWD-000296, SWD-000297, SWD-000298, SWD-000299, SWD-000300, SWD-000301",,medium,FAB,4F,,,WORK,Y-Project FAB(Fabrication) 건물 작업현장. 1F~4F 전체 작업구역. 반도체 설비 설치·시공 구역으로 핵심 생산 활동 공간.,3.0,height,30,18.9,4.0,713.0,48.2,311762,3666.2,8624.0,36.15,10.0,7.0,commute_peak,216.0,1168.0,LONG_STAY
L-Y1-024,outdoor_work,지원 1-3BL,WORK,BLOCK,#work #productive #hazard_3 #outdoor,SEC-00022,ZN-00166,PLC-Y1-050,,,medium,,,other,False,WORK,"Y-Project 외부 야외 공사현장 구역. 여러 공사 블록(BL)을 포함. 중장비 이동, 야외 시공 작업 수행 구역.",3.0,outdoor,0,27.2,3.0,719.0,70.6,153519,1864.1,6420.0,23.91,15.0,6.0,night_shift,154.4,489.0,LONG_STAY
L-Y1-025,outdoor_work,지원 4BL,WORK,BLOCK,#work #productive #hazard_3 #outdoor,SEC-00022,ZN-00167,PLC-Y1-050,,,medium,,,other,False,WORK,"Y-Project 외부 야외 공사현장 구역. 여러 공사 블록(BL)을 포함. 중장비 이동, 야외 시공 작업 수행 구역.",3.0,outdoor,0,9.3,2.0,718.0,38.6,507376,3116.8,8678.0,58.47,5.0,0.0,night_shift,191.3,333.0,LONG_STAY
L-Y1-026,mechanical_room,비상발전기동,WORK,ZONE,#work #high_volt #hazard_4 #no_lone,SEC-00022,,PLC-Y1-050,,,high,,,,,WORK,"Y-Project 외부 야외 공사현장 구역. 여러 공사 블록(BL)을 포함. 중장비 이동, 야외 시공 작업 수행 구역.",4.0,high_volt|no_lone,0,4.5,1.0,672.0,14.2,92696,2010.4,7768.0,11.93,22.0,6.0,night_shift,15.9,88.0,HAZARD_ZONE
L-Y1-031,breakroom,FAB 휴게실 1층 1번,REST,POINT,#rest #crowded,SEC-00022,ZN-00150,PLC-Y1-011,SWD-000234,,low,FAB,1F,amenity_rest,True,REST,FAB 건물 내 직원 휴게 구역. 1F 소재. 작업 중 휴식 및 간식 섭취 공간.,,crowded,1,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,uniform,0.0,0.0,SHORT_STAY
L-Y1-032,breakroom,FAB 휴게실 1층 2번,REST,POINT,#rest,SEC-00022,ZN-00149,PLC-Y1-011,SWD-000213,,low,FAB,1F,amenity_rest,True,REST,FAB 건물 내 직원 휴게 구역. 1F 소재. 작업 중 휴식 및 간식 섭취 공간.,,,1,9.4,3.0,662.0,21.0,93158,724.5,2685.0,34.7,21.0,8.0,commute_peak,31.3,134.0,SHORT_STAY
L-Y1-033,breakroom,FAB 휴게실 1층 4번,REST,POINT,#rest,SEC-00022,ZN-00148,PLC-Y1-011,SWD-000238,,low,FAB,1F,amenity_rest,True,REST,FAB 건물 내 직원 휴게 구역. 1F 소재. 작업 중 휴식 및 간식 섭취 공간.,,,1,3.6,1.0,671.0,8.1,60371,840.0,3769.0,16.02,25.0,15.0,commute_peak,8.4,80.0,SHORT_STAY
L-Y1-040,work_zone,CUB 1F 작업구역,WORK,ZONE,#work #productive #hazard_3 #crowded,SEC-00022,ZN-00090,PLC-Y1-020,"SWD-000134, SWD-000197, SWD-000199, SWD-000202, SWD-000203, SWD-000204, SWD-000205, SWD-000206, SWD-000208, SWD-000209, SWD-000211, SWD-000253, SWD-000254",,high,,,work_area,False,WORK,Y-Project CUB 건물 작업현장. 1F·B1F 포함. 설비 및 구조물 설치 작업 구역.,3.0,crowded,13,10.7,2.0,720.0,32.5,460048,4702.6,8765.0,52.49,6.0,6.0,night_shift,180.9,632.0,LONG_STAY
L-Y1-041,work_zone,CUB B1F 작업구역,WORK,ZONE,#work #productive #hazard_4 #height,SEC-00022,,PLC-Y1-020,"SWD-000198, SWD-000200, SWD-000201, SWD-000207, SWD-000210, SWD-000214, SWD-000215, SWD-000216, SWD-000217, SWD-000218",,high,CUB,1F,,,WORK,Y-Project CUB 건물 작업현장. 1F·B1F 포함. 설비 및 구조물 설치 작업 구역.,4.0,height,10,36.1,7.0,719.0,66.2,33113,532.1,1687.0,19.63,27.0,7.0,commute_peak,47.5,205.0,HAZARD_ZONE
L-Y1-050,work_zone,WWT B1F 전체,WORK,BLOCK,#work #productive #hazard_4 #crowded,SEC-00022,,PLC-Y1-030,"SWD-000167, SWD-000168, SWD-000169, SWD-000170, SWD-000171, SWD-000174, SWD-000175, SWD-000176, SWD-000177, SWD-000178, SWD-000180, SWD-000181",,high,WWT,1F,,,WORK,Y-Project WWT(Water Treatment) 건물 작업구역. B1F~2F. 수처리 설비 설치 시공 구역.,4.0,crowded,12,36.2,16.0,684.0,48.8,8621,121.6,575.0,14.99,33.0,8.0,commute_peak,20.1,78.0,HAZARD_ZONE
L-Y1-051,work_zone,WWT 1F 전체,WORK,ZONE,#work #productive #hazard_3,SEC-00022,,PLC-Y1-030,"SWD-000152, SWD-000153, SWD-000154, SWD-000155, SWD-000156, SWD-000157, SWD-000158, SWD-000159, SWD-000160, SWD-000161, SWD-000162, SWD-000163, SWD-000164, SWD-000165, SWD-000166, SWD-000179, SWD-000182, SWD-000184",,medium,WWT,1F,,,WORK,Y-Project WWT(Water Treatment) 건물 작업구역. B1F~2F. 수처리 설비 설치 시공 구역.,3.0,,18,18.0,4.0,719.0,49.1,133911,1381.9,4418.0,30.31,16.0,7.0,commute_peak,96.2,389.0,LONG_STAY
L-Y1-052,work_zone,WWT 2F 전체,WORK,ZONE,#work #productive #hazard_3,SEC-00022,,PLC-Y1-030,"SWD-000219, SWD-000222, SWD-000223, SWD-000224, SWD-000263, SWD-000264, SWD-000265, SWD-000266, SWD-000267, SWD-000268, SWD-000269, SWD-000270, SWD-000271, SWD-000281",,medium,WWT,2F,,,WORK,Y-Project WWT(Water Treatment) 건물 작업구역. B1F~2F. 수처리 설비 설치 시공 구역.,3.0,,14,11.2,4.0,710.0,29.4,90711,1022.0,3425.0,26.48,24.0,7.0,commute_peak,45.5,284.0,LONG_STAY
L-Y1-054,breakroom,WWT 2F 휴게실,REST,POINT,#rest,SEC-00022,ZN-00175,PLC-Y1-030,SWD-000221,,low,WWT,2F,amenity_rest,True,WORK,Y-Project WWT(Water Treatment) 건물 작업구역. B1F~2F. 수처리 설비 설치 시공 구역.,,,1,9.1,2.0,600.0,19.2,30277,413.8,1221.0,24.8,29.0,7.0,commute_peak,19.6,91.0,SHORT_STAY
L-Y1-055,confined_space,WWT B1F TB08 밀폐,WORK,ZONE,#work #confined #hazard_5 #no_lone #team_2,SEC-00022,ZN-00121,PLC-Y1-031,SWD-000261,,critical,WWT,B1F,confined_space,True,WORK,"WWT B1F 내 밀폐공간(Confined Space) 구역. 산소결핍·유해가스 위험 5등급. 단독 진입 절대 금지, 2인 이상 필수. 감시자 배치 의무.",5.0,confined|no_lone|team_2,1,1.8,1.0,11.0,1.7,384,15.2,140.0,2.74,39.0,8.0,commute_peak,1.3,7.0,HAZARD_ZONE
L-Y1-056,confined_space,WWT B1F TB02 밀폐,WORK,ZONE,#work #confined #hazard_5 #no_lone #team_2,SEC-00022,ZN-00165,PLC-Y1-031,"SWD-000172, SWD-000173, SWD-000260, SWD-000303",,critical,WWT,B1F,confined_space,True,WORK,"WWT B1F 내 밀폐공간(Confined Space) 구역. 산소결핍·유해가스 위험 5등급. 단독 진입 절대 금지, 2인 이상 필수. 감시자 배치 의무.",5.0,confined|no_lone|team_2,4,8.6,3.0,232.0,20.9,1209,11.9,87.0,13.9,34.0,10.0,commute_peak,3.8,16.0,HAZARD_ZONE
L-Y1-057,confined_space,WWT B1F TB17 밀폐,WORK,ZONE,#work #confined #hazard_5 #no_lone #team_2,SEC-00022,ZN-00173,PLC-Y1-031,SWD-000183,,critical,WWT,B1F,confined_space,True,WORK,"WWT B1F 내 밀폐공간(Confined Space) 구역. 산소결핍·유해가스 위험 5등급. 단독 진입 절대 금지, 2인 이상 필수. 감시자 배치 의무.",5.0,confined|no_lone|team_2,1,2.7,1.0,59.0,3.5,611,17.3,154.0,3.97,38.0,8.0,commute_peak,1.4,7.0,HAZARD_ZONE
L-Y1-058,work_zone,WWT B1F TB16,WORK,ZONE,#work #productive #hazard_4,SEC-00022,ZN-00117,PLC-Y1-030,,,medium,WWT,B1F,other,False,WORK,Y-Project WWT(Water Treatment) 건물 작업구역. B1F~2F. 수처리 설비 설치 시공 구역.,4.0,,0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,uniform,0.0,0.0,HAZARD_ZONE
L-Y1-059,work_zone,WWT B1F TB15,WORK,ZONE,#work #productive #hazard_4,SEC-00022,ZN-00118,PLC-Y1-030,,,medium,WWT,B1F,other,False,WORK,Y-Project WWT(Water Treatment) 건물 작업구역. B1F~2F. 수처리 설비 설치 시공 구역.,4.0,,0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,uniform,0.0,0.0,HAZARD_ZONE
L-Y1-060,work_zone,WWT B1F TB11,WORK,ZONE,#work #productive #hazard_4,SEC-00022,ZN-00119,PLC-Y1-030,,,medium,WWT,B1F,other,False,WORK,Y-Project WWT(Water Treatment) 건물 작업구역. B1F~2F. 수처리 설비 설치 시공 구역.,4.0,,0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,uniform,0.0,0.0,HAZARD_ZONE
L-Y1-061,work_zone,WWT B1F TB09,WORK,ZONE,#work #productive #hazard_4,SEC-00022,ZN-00120,PLC-Y1-030,,,medium,WWT,B1F,other,False,WORK,Y-Project WWT(Water Treatment) 건물 작업구역. B1F~2F. 수처리 설비 설치 시공 구역.,4.0,,0,2.5,1.0,28.0,2.8,810,20.3,168.0,4.82,36.0,8.0,commute_peak,1.6,8.0,HAZARD_ZONE
L-Y1-062,work_zone,WWT B1F TB07,WORK,ZONE,#work #productive #hazard_3,SEC-00022,ZN-00122,PLC-Y1-030,,,medium,WWT,B1F,other,False,WORK,Y-Project WWT(Water Treatment) 건물 작업구역. B1F~2F. 수처리 설비 설치 시공 구역.,3.0,,0,1.1,1.0,2.0,0.3,27,1.9,26.0,1.04,42.0,8.0,commute_peak,1.1,2.0,LONG_STAY
L-Y1-070,outdoor_work,공사현장 (야외),WORK,BLOCK,#work #outdoor #hazard_3 #crowded,SEC-00022,ZN-00072,PLC-Y1-050,"SWD-000117, SWD-000118, SWD-000119",,high,,,work_area,False,WORK,"Y-Project 외부 야외 공사현장 구역. 여러 공사 블록(BL)을 포함. 중장비 이동, 야외 시공 작업 수행 구역.",3.0,outdoor|crowded,10,5.0,2.0,717.0,15.7,1984410,7551.7,11839.0,167.62,1.0,6.0,night_shift,348.1,761.0,LONG_STAY
L-Y1-071,work_zone,본진 (작업구역),WORK,BLOCK,#work #productive #hazard_2,SEC-00022,ZN-00162,PLC-Y1-050,,,low,,,amenity_rest,True,WORK,"Y-Project 외부 야외 공사현장 구역. 여러 공사 블록(BL)을 포함. 중장비 이동, 야외 시공 작업 수행 구역.",2.0,,0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,uniform,0.0,0.0,LONG_STAY
L-Y1-080,high_voltage,154kV 1F 전체,WORK,ZONE,#work #high_volt #hazard_5 #no_lone,SEC-00022,ZN-00116,PLC-Y1-040,,,medium,,,other,False,WORK,Y-Project 154kV 고압전기 구역. 단독 작업 절대 금지 구역. 고압 전기 위험으로 특수 안전 자격 필요.,5.0,high_volt|no_lone,1,10.2,3.0,697.0,22.1,91335,1069.0,4097.0,22.29,23.0,6.0,commute_peak,32.3,234.0,HAZARD_ZONE
L-Y1-081,high_voltage,154kV 목적지,WORK,ZONE,#work #high_volt #hazard_5 #destination,SEC-00022,ZN-00094,PLC-Y1-040,,,medium,,,target_area,False,WORK,Y-Project 154kV 고압전기 구역. 단독 작업 절대 금지 구역. 고압 전기 위험으로 특수 안전 자격 필요.,5.0,high_volt,0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,uniform,0.0,0.0,HAZARD_ZONE
L-Y1-082,work_zone,저수조,WORK,ZONE,#work #productive #hazard_3,SEC-00022,ZN-00114,PLC-Y1-040,SWD-000220,,medium,,,other,False,WORK,Y-Project 154kV 고압전기 구역. 단독 작업 절대 금지 구역. 고압 전기 위험으로 특수 안전 자격 필요.,3.0,,2,28.0,12.0,627.0,52.0,10125,274.0,700.0,14.46,31.0,7.0,commute_peak,15.3,86.0,LONG_STAY
L-Y1-072,office,본진사무실,ADMIN,ZONE,#admin #non_productive,SEC-00022,ZN-00096,PLC-Y1-070,,,medium,,,target_area,False,ADMIN,Y-Project 현장 사무 구역. 본진·전진 사무실 포함. 현장 관리·행정·협력사 미팅 공간.,,,2,4.6,2.0,719.0,15.5,620231,5753.0,10504.0,59.05,4.0,6.0,night_shift,114.4,725.0,ADMIN
L-Y1-094,office,전진 (사무시설),ADMIN,ZONE,#admin #non_productive,SEC-00022,ZN-00079,PLC-Y1-070,,,low,,,amenity_rest,True,ADMIN,Y-Project 현장 사무 구역. 본진·전진 사무실 포함. 현장 관리·행정·협력사 미팅 공간.,,,7,7.3,2.0,74.0,13.6,928,36.2,525.0,1.77,35.0,9.0,commute_peak,16.6,104.0,ADMIN
L-Y1-101,office,전진사무실 목적지,ADMIN,ZONE,#admin #destination,SEC-00022,ZN-00089,PLC-Y1-070,,,medium,,,target_area,False,ADMIN,Y-Project 현장 사무 구역. 본진·전진 사무실 포함. 현장 관리·행정·협력사 미팅 공간.,,,0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,uniform,0.0,0.0,ADMIN
L-Y1-090,breakroom,휴게실 (본진 정문 건너),REST,POINT,#rest #crowded,SEC-00022,ZN-00107,PLC-Y1-060,SWD-000229,,low,,,amenity_rest,True,REST,"Y-Project 본진 구역 편의시설. 구내식당, 휴게실, 흡연구역 포함. 점심 피크 시간대 집중 이동 발생.",,crowded,1,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,uniform,0.0,0.0,SHORT_STAY
L-Y1-091,smoking_area,흡연장 (타각기 근처),REST,POINT,#rest #smoking,SEC-00022,ZN-00147,PLC-Y1-060,SWD-000230,,low,,,amenity_rest,True,REST,"Y-Project 본진 구역 편의시설. 구내식당, 휴게실, 흡연구역 포함. 점심 피크 시간대 집중 이동 발생.",,smoking,2,5.7,1.0,711.0,20.8,378489,3699.2,9417.0,40.19,8.0,19.0,night_shift,75.5,284.0,SHORT_STAY
L-Y1-092,smoking_area,흡연장 (본진 B동 건너),REST,POINT,#rest #smoking,SEC-00022,ZN-00110,PLC-Y1-060,SWD-000231,,low,,,amenity_rest,True,REST,"Y-Project 본진 구역 편의시설. 구내식당, 휴게실, 흡연구역 포함. 점심 피크 시간대 집중 이동 발생.",,smoking,1,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,uniform,0.0,0.0,SHORT_STAY
L-Y1-093,smoking_area,흡연장 (전진사무실),REST,POINT,#rest #smoking,SEC-00022,ZN-00083,PLC-Y1-061,,,low,,,amenity_smoking,True,REST,"Y-Project 전진 구역 편의시설. 구내식당, 휴게실 포함. 전진 구역 작업 인력의 주요 휴식 공간.",,smoking,1,2.0,1.0,22.0,2.8,165,12.5,100.0,1.65,41.0,9.0,commute_peak,4.1,10.0,SHORT_STAY
L-Y1-095,breakroom,휴게실 (전진 사무실 뒷편),REST,POINT,#rest,SEC-00022,ZN-00146,PLC-Y1-061,,,low,,,amenity_rest,True,REST,"Y-Project 전진 구역 편의시설. 구내식당, 휴게실 포함. 전진 구역 작업 인력의 주요 휴식 공간.",,,1,3.1,1.0,59.0,5.5,368,24.6,241.0,1.53,40.0,9.0,commute_peak,14.0,35.0,SHORT_STAY
L-Y1-096,dining_hall,본진 식당,REST,ZONE,#rest #meal #crowded #lunch_peak,SEC-00022,,PLC-Y1-060,,,low,본진,,,,REST,"Y-Project 본진 구역 편의시설. 구내식당, 휴게실, 흡연구역 포함. 점심 피크 시간대 집중 이동 발생.",,crowded,0,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,uniform,0.0,0.0,SHORT_STAY
L-Y1-097,breakroom,휴게실 (정수장 옆),REST,POINT,#rest,SEC-00022,ZN-00115,PLC-Y1-061,,,low,,,amenity_rest,True,REST,"Y-Project 전진 구역 편의시설. 구내식당, 휴게실 포함. 전진 구역 작업 인력의 주요 휴식 공간.",,,2,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,uniform,0.0,0.0,SHORT_STAY
L-Y1-098,breakroom,154kV 변전소 휴게실,REST,POINT,#rest,SEC-00022,,PLC-Y1-040,,,low,154kV,,,,WORK,Y-Project 154kV 고압전기 구역. 단독 작업 절대 금지 구역. 고압 전기 위험으로 특수 안전 자격 필요.,,,0,7.1,2.0,699.0,18.4,125446,927.7,4029.0,31.14,18.0,7.0,night_shift,31.0,86.0,SHORT_STAY
L-Y1-099,breakroom,본진 내부 남자 휴게실,REST,POINT,#rest,SEC-00022,,PLC-Y1-060,,,low,본진,,,,REST,"Y-Project 본진 구역 편의시설. 구내식당, 휴게실, 흡연구역 포함. 점심 피크 시간대 집중 이동 발생.",,,1,15.2,3.0,719.0,41.6,131976,2936.8,8872.0,14.88,17.0,11.0,lunch_peak,74.2,232.0,SHORT_STAY
L-Y1-100,parking_lot,주차장,FACILITY,BLOCK,#parking #non_productive,SEC-00022,ZN-00169,PLC-Y1-080,SWD-000228,,medium,,,parking,False,FACILITY,Y-Project 현장 주차 구역. 직원 및 협력사 차량 주차. 야외 평면 주차장.,,,2,1.5,1.0,17.0,1.3,702,19.2,238.0,2.95,37.0,20.0,night_shift,1.1,3.0,SHORT_STAY
L-Y1-104,breakroom,BL 야외 휴게실,REST,POINT,#rest #outdoor,SEC-00022,,,SWD-000248,BL 4구역 중앙 야외 휴게 공간,medium,,,,,,,,outdoor,1,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,uniform,0.0,0.0,SHORT_STAY
L-Y1-105,restroom,전진사무실 화장실,REST,POINT,#rest,SEC-00022,,,SWD-000135,전진사무실 구역 화장실,low,전진,,,,,,,,1,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,0.0,uniform,0.0,0.0,SHORT_STAY
L-Y1-027,work_zone,FAB 5F 작업구역,WORK,floor,"construction,high_risk",SEC-00022,,,,FAB 5F 전체 작업구역,medium,FAB,5F,,,,,,,0,19.6,4.0,720.0,48.2,356693,3162.3,8551.0,41.71,9.0,7.0,commute_peak,233.0,761.0,LONG_STAY
L-Y1-028,work_zone,FAB 6F 작업구역,WORK,floor,"construction,high_risk",SEC-00022,,,,FAB 6F 전체 작업구역,medium,FAB,6F,,,,,,,0,7.3,2.0,708.0,17.7,274343,3028.2,8976.0,30.56,13.0,7.0,commute_peak,69.5,464.0,LONG_STAY
L-Y1-029,transit,FAB 호이스트,WORK,point,"vertical,equipment",SEC-00022,,,,FAB 호이스트 (수직 이동 설비),medium,FAB,,,,,,,,0,3.5,1.0,635.0,8.8,295088,3863.0,8613.0,34.26,12.0,6.0,night_shift,33.9,247.0,TRANSIT
L-Y1-030,transit,FAB 클라이머,WORK,point,"vertical,equipment",SEC-00022,,,,FAB 외부 클라이머 (수직 이동),medium,FAB,,,,,,,,0,1.9,1.0,83.0,2.3,30366,2250.2,5459.0,5.56,28.0,6.0,night_shift,8.6,148.0,TRANSIT
L-Y1-042,transit,CUB 클라이머,WORK,point,"vertical,equipment",SEC-00022,,,,CUB 외부 클라이머 (수직 이동),medium,CUB,,,,,,,,0,2.3,1.0,177.0,4.0,98735,2451.6,7833.0,12.61,20.0,12.0,lunch_peak,17.5,123.0,TRANSIT
L-Y1-073,facility,안전교육장,FACILITY,room,"safety,training",SEC-00022,,,,현장 안전교육장,low,,,,,,,,,0,9.7,2.0,660.0,41.6,9618,2156.7,4343.0,2.21,32.0,17.0,commute_peak,25.6,140.0,SHORT_STAY
L-Y1-083,high_voltage,154kV 3F 전체,WORK,floor,"electrical,high_risk",SEC-00022,,,,154kV 변전소 3F 작업구역,medium,154kV,3F,,,,,,,0,4.6,2.0,165.0,8.1,12115,320.3,1394.0,8.69,30.0,7.0,commute_peak,9.6,53.0,LONG_STAY
